Date,Region,Rainfall (mm),Temperature (°C),Soil Type,Soil pH,Soil Nutrients (N-P-K),Latitude,Longitude,Altitude (m),Planting Date,Fertilizer Usage (kg/ha),Irrigation (mm),Pest & Disease Prevalence (%),Previous Year Yield (kg/ha),Maize Seed Variety,Market Price (KES/kg),Planting Density (plants/m²),Harvesting Date,Crop Health,Topography,Satellite Imagery,Price of Fertilizer (KES/kg)
2023-04-01,Kisumu,100,24.0,Clay,7.1,13-25-19,-3.7161,38.8936,2033,2023-03-01,149,14,5,433,Hybrid-1,22.6,8,2023-07-15,Average,Wet,Flooded,155
2023-04-01,Nakuru,128,22.7,Sandy,5.7,38-50-16,0.8628,34.0661,1413,2023-03-01,85,53,4,451,Hybrid-1,19.5,4,2023-07-15,Good,Flat,Normal,146
2023-04-01,Nairobi,38,23.8,Sandy,5.8,23-43-44,-0.1188,35.4335,1458,2023-03-01,80,53,1,235,Hybrid-1,24.7,7,2023-07-15,Average,Flat,Normal,126
2023-04-01,Nairobi,144,21.0,Sandy,5.8,41-43-26,-1.8951,38.2712,2763,2023-03-01,150,80,11,395,Local-1,18.8,7,2023-07-15,Average,Hilly,Normal,126
2023-04-01,Nakuru,140,22.6,Clay,6.3,42-11-38,2.9341,38.9073,2224,2023-03-01,135,86,12,213,Hybrid-2,23.0,7,2023-07-15,Good,Flat,Flooded,156
2023-04-01,Nakuru,66,27.2,Loam,7.4,14-41-35,3.8542,34.2799,1337,2023-03-01,134,59,11,243,Hybrid-1,24.4,6,2023-07-15,Good,Wet,Drought,145
2023-04-01,Kisumu,24,22.8,Loam,5.8,12-36-38,1.7393,35.0956,2246,2023-03-01,71,76,15,391,Hybrid-2,20.5,8,2023-07-15,Average,Hilly,Drought,172
2023-04-01,Eldoret,23,28.4,Loam,7.1,36-16-12,1.4367,36.0539,1356,2023-03-01,148,68,8,273,Local-1,22.8,8,2023-07-15,Good,Wet,Normal,170
2023-04-01,Kisumu,31,26.8,Sandy,7.3,11-17-46,-3.8481,38.3222,2834,2023-03-01,98,21,2,239,Local-1,23.6,6,2023-07-15,Average,Wet,Normal,149
2023-04-01,Nairobi,111,27.5,Loam,7.1,49-34-19,-3.4019,39.7907,1046,2023-03-01,116,11,3,249,Hybrid-1,18.2,7,2023-07-15,Average,Wet,Normal,186
2023-04-01,Mombasa,137,21.9,Sandy,6.5,49-18-43,-3.3348,37.0007,2917,2023-03-01,84,75,4,416,Hybrid-1,20.9,7,2023-07-15,Poor,Wet,Drought,108
2023-04-01,Mombasa,42,23.8,Clay,6.0,13-18-20,1.8909,36.8833,2045,2023-03-01,93,14,10,385,Hybrid-2,18.9,5,2023-07-15,Good,Flat,Normal,151
2023-04-01,Eldoret,115,23.9,Clay,5.9,23-39-44,2.6512,36.3619,2274,2023-03-01,119,65,20,480,Hybrid-2,21.4,7,2023-07-15,Average,Flat,Normal,188
2023-04-01,Nakuru,87,21.8,Loam,7.4,10-50-15,0.0811,34.396,2819,2023-03-01,52,97,15,270,Local-1,18.3,7,2023-07-15,Average,Flat,Normal,122
2023-04-01,Nakuru,83,24.3,Sandy,7.3,29-16-31,3.1083,39.6317,1333,2023-03-01,124,9,17,333,Hybrid-1,24.4,5,2023-07-15,Average,Flat,Normal,159
